title,date,date_transformed,employer,location,salary,salary_copy,working_hours,day_of_week,month,min_salary,max_salary
Data Analyst,28 March,2024-03-28,SES Water,Redhill,"£28,000 - £32,000 per annum",28000 - 32000 per annum,"Permanent, full-time",Thursday,March,28000,32000
Business Data Analyst/Data Analyst,3 days ago,2024-04-24,Deutsche Bank,Birmingham,Competitive salary,Competitive salary,"Contract, full-time",Wednesday,April,1,1
Data Analyst,18 April,2024-04-18,Equiniti,Worthing,Competitive salary,Competitive salary,"Permanent, full-time",Thursday,April,1,1
Data Analyst,9 April,2024-04-09,Anglian Water,Peterborough,"£32,000 per annum",32000 per annum,"Permanent, full-time",Tuesday,April,32000,0
Data Analyst Trainee,24 January,2024-01-24,ITonlinelearning Recruitment,Kingston Upon Thames, Training Course, Training Course,"Permanent, full-time",Wednesday,January,2,2
Data Analyst Trainee,2 January,2024-01-02,ITonlinelearning Recruitment,Stoke-on-Trent, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,15 April,2024-04-15,ITonlinelearning Recruitment,Telford, Training Course, Training Course,"Permanent, full-time",Monday,April,2,2
Data Analyst Trainee,15 April,2024-04-15,ITonlinelearning Recruitment,Huddersfield, Training Course, Training Course,"Permanent, full-time",Monday,April,2,2
Data Analyst Trainee,2 January,2024-01-02,ITonlinelearning Recruitment,Manchester, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,2 January,2024-01-02,ITonlinelearning Recruitment,North West London, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,29 January,2024-01-29,ITonlinelearning Recruitment,Doncaster, Training Course, Training Course,"Permanent, full-time",Monday,January,2,2
Data Analyst Trainee,29 January,2024-01-29,ITonlinelearning Recruitment,Peterborough, Training Course, Training Course,"Permanent, full-time",Monday,January,2,2
Data Analyst Trainee,23 January,2024-01-23,ITonlinelearning Recruitment,Portsmouth, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,27 December,2023-12-27,ITonlinelearning Recruitment,Bristol, Training Course, Training Course,"Permanent, full-time",Wednesday,December,2,2
Data Analyst Trainee,27 December,2023-12-27,ITonlinelearning Recruitment,Birmingham, Training Course, Training Course,"Permanent, full-time",Wednesday,December,2,2
Data Analyst Trainee,3 January,2024-01-03,ITonlinelearning Recruitment,London, Training Course, Training Course,"Permanent, full-time",Wednesday,January,2,2
